track 1: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.72)
track 2: IDENTIFIED as 28 (CONFIRMED, conf=0.82)
track 3: IDENTIFIED as 18 (REVIEW_REQUIRED, conf=0.62)
track 4: IDENTIFIED as 28 (LOCKED, conf=0.94)
track 5: IDENTIFIED as 23 (REVIEW_REQUIRED, conf=0.61)
track 6: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 7: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 8: IDENTIFIED as 30 (UNKNOWN, conf=0.65)
track 9: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 10: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 11: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 13: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 14: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 15: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 16: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 17: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 21: IDENTIFIED as 30 (UNKNOWN, conf=0.34)
track 23: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 27: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 33: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 34: IDENTIFIED as 30 (UNKNOWN, conf=0.38)
track 40: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 45: IDENTIFIED as 29 (CANDIDATE, conf=0.60)
track 46: IDENTIFIED as 10 (UNKNOWN, conf=0.40)
track 47: IDENTIFIED as 30 (UNKNOWN, conf=0.52)
track 50: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 52: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 59: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 62: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 64: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 66: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 67: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 68: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 69: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 70: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 72: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 73: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 75: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 76: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 78: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 80: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 81: IDENTIFIED as 30 (UNKNOWN, conf=0.34)
track 82: IDENTIFIED as 30 (UNKNOWN, conf=0.42)
track 84: IDENTIFIED as 14 (UNKNOWN, conf=0.34)
track 86: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 87: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 89: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
