track 2: IDENTIFIED as 06 (UNKNOWN, conf=0.53)
track 3: IDENTIFIED as 06 (UNKNOWN, conf=0.41)
track 4: IDENTIFIED as 06 (CONFIRMED, conf=0.80)
track 5: IDENTIFIED as 18 (CANDIDATE, conf=0.72)
track 6: NOT RECOGNIZED — best sim 0.26 -> 10 (threshold 0.45)
track 7: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 10: IDENTIFIED as 06 (UNKNOWN, conf=0.23)
track 12: IDENTIFIED as 18 (UNKNOWN, conf=0.50)
track 13: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 15: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 16: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 17: IDENTIFIED as 18 (UNKNOWN, conf=0.54)
track 19: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 22: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 27: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 31: IDENTIFIED as 06 (UNKNOWN, conf=0.23)
track 33: NOT RECOGNIZED — face never detected (2 looks)
track 38: IDENTIFIED as 23 (LOCKED, conf=0.95)
track 40: IDENTIFIED as 23 (UNKNOWN, conf=0.56)
track 44: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 48: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 50: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 53: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 61: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 65: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 67: IDENTIFIED as 18 (CONFIRMED, conf=0.70)
track 70: IDENTIFIED as 06 (UNKNOWN, conf=0.23)
track 73: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 74: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 80: IDENTIFIED as 23 (CONFIRMED, conf=0.69)
track 83: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 87: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 94: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 95: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 97: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 104: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 105: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 109: IDENTIFIED as 18 (UNKNOWN, conf=0.45)
track 110: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 111: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 113: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 114: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 116: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 118: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 120: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 121: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 124: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 125: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 126: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 127: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 06 (UNKNOWN, conf=0.26)
track 131: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 132: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 134: IDENTIFIED as 14 (UNKNOWN, conf=0.34)
track 135: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 136: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 138: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 139: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 141: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 143: IDENTIFIED as 23 (UNKNOWN, conf=0.31)
track 144: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 146: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 147: IDENTIFIED as 06 (CANDIDATE, conf=0.41)
track 149: IDENTIFIED as 14 (UNKNOWN, conf=0.27)
track 150: IDENTIFIED as 06 (UNKNOWN, conf=0.23)
track 155: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 158: IDENTIFIED as 14 (UNKNOWN, conf=0.40)
track 159: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 160: IDENTIFIED as 23 (UNKNOWN, conf=0.26)
track 161: IDENTIFIED as 23 (UNKNOWN, conf=0.32)
track 162: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 163: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 164: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 167: IDENTIFIED as 06 (UNKNOWN, conf=0.31)
track 168: IDENTIFIED as 17 (CONFIRMED, conf=0.68)
track 171: IDENTIFIED as 14 (UNKNOWN, conf=0.21)
track 176: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 177: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 178: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 180: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 182: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
