track 1: IDENTIFIED as 28 (LOCKED, conf=0.92)
track 2: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 3: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 4: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 5: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 6: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 7: IDENTIFIED as 30 (UNKNOWN, conf=0.64)
track 8: IDENTIFIED as 30 (UNKNOWN, conf=0.64)
track 9: NOT RECOGNIZED — rejected: extreme yaw x3
track 10: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 11: IDENTIFIED as 30 (UNKNOWN, conf=0.56)
track 12: IDENTIFIED as 23 (UNKNOWN, conf=0.47)
track 13: IDENTIFIED as 02 (UNKNOWN, conf=0.23)
track 15: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 16: IDENTIFIED as 02 (UNKNOWN, conf=0.45)
track 17: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 18: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 19: IDENTIFIED as 23 (UNKNOWN, conf=0.67)
track 20: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 21: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 22: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 23: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 24: IDENTIFIED as 30 (UNKNOWN, conf=0.51)
track 25: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 26: IDENTIFIED as 30 (UNKNOWN, conf=0.62)
track 27: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 29: NOT RECOGNIZED — face never detected (10 looks)
track 30: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 31: IDENTIFIED as 30 (UNKNOWN, conf=0.58)
track 33: IDENTIFIED as 28 (CANDIDATE, conf=0.39)
track 34: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 35: IDENTIFIED as 30 (UNKNOWN, conf=0.61)
track 36: IDENTIFIED as 02 (UNKNOWN, conf=0.65)
track 37: IDENTIFIED as 30 (UNKNOWN, conf=0.51)
