track 1: IDENTIFIED as 29 (LOCKED, conf=0.96)
track 2: IDENTIFIED as 05 (UNKNOWN, conf=0.35)
track 3: IDENTIFIED as 05 (UNKNOWN, conf=0.60)
track 4: IDENTIFIED as 04 (CONFIRMED, conf=0.88)
track 5: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 6: IDENTIFIED as 05 (UNKNOWN, conf=0.44)
track 7: NOT RECOGNIZED — face never detected (8 looks)
track 8: IDENTIFIED as 29 (UNKNOWN, conf=0.46)
track 9: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 10: IDENTIFIED as 29 (CANDIDATE, conf=0.46)
track 19: IDENTIFIED as 29 (CANDIDATE, conf=0.51)
track 20: IDENTIFIED as 29 (UNKNOWN, conf=0.70)
track 22: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 23: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 24: IDENTIFIED as 29 (CANDIDATE, conf=0.58)
track 26: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 30: NOT RECOGNIZED — face never detected (3 looks)
track 31: IDENTIFIED as 29 (CONFIRMED, conf=0.71)
track 32: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 33: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 34: NOT RECOGNIZED — face never detected (9 looks)
track 37: NOT RECOGNIZED — best sim 0.19 -> 15 (threshold 0.45)
track 39: NOT RECOGNIZED — face never detected (4 looks)
track 40: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 41: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 42: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 45: IDENTIFIED as 05 (UNKNOWN, conf=0.58)
track 48: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 49: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 50: IDENTIFIED as 05 (UNKNOWN, conf=0.24)
track 51: NOT RECOGNIZED — face never detected (5 looks)
track 52: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 53: IDENTIFIED as 33 (CANDIDATE, conf=0.78)
track 54: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 56: IDENTIFIED as 29 (CANDIDATE, conf=0.32)
track 57: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 59: NOT RECOGNIZED — best sim 0.29 -> 29 (threshold 0.45)
track 62: NOT RECOGNIZED — face never detected (9 looks)
track 63: NOT RECOGNIZED — face never detected (10 looks)
track 67: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 69: NOT RECOGNIZED — best sim 0.24 -> 38 (threshold 0.45)
track 71: NOT RECOGNIZED — AMBIGUOUS 29 vs 33 (sim 0.47, margin 0.02)
track 72: IDENTIFIED as 04 (CONFIRMED, conf=0.87)
track 74: NOT RECOGNIZED — face never detected (10 looks)
track 75: NOT RECOGNIZED — face never detected (10 looks)
track 76: IDENTIFIED as 14 (UNKNOWN, conf=0.66)
track 77: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 78: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 79: IDENTIFIED as 04 (UNKNOWN, conf=0.39)
track 81: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 83: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 85: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 88: IDENTIFIED as 05 (UNKNOWN, conf=0.58)
track 89: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 91: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 92: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 94: IDENTIFIED as 03 (LOCKED, conf=0.95)
track 95: IDENTIFIED as 03 (UNKNOWN, conf=0.40)
track 97: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 100: IDENTIFIED as 29 (UNKNOWN, conf=0.37)
track 101: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 102: IDENTIFIED as 05 (UNKNOWN, conf=0.34)
track 104: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 106: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 108: NOT RECOGNIZED — face never detected (13 looks)
track 109: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 110: IDENTIFIED as 03 (CANDIDATE, conf=0.84)
track 111: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 113: IDENTIFIED as 03 (UNKNOWN, conf=0.43)
track 114: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 115: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 116: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 119: IDENTIFIED as 21 (REVIEW_REQUIRED, conf=0.72)
track 121: IDENTIFIED as 03 (UNKNOWN, conf=0.40)
track 122: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.65)
track 125: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 126: IDENTIFIED as 05 (UNKNOWN, conf=0.48)
track 127: IDENTIFIED as 04 (CONFIRMED, conf=0.89)
track 128: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 131: IDENTIFIED as 04 (UNKNOWN, conf=0.26)
track 132: IDENTIFIED as 29 (UNKNOWN, conf=0.68)
track 133: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 135: IDENTIFIED as 29 (UNKNOWN, conf=0.68)
track 136: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 137: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 138: IDENTIFIED as 29 (CANDIDATE, conf=0.68)
track 139: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 140: IDENTIFIED as 04 (CONFIRMED, conf=0.82)
track 143: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 145: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 146: IDENTIFIED as 29 (CANDIDATE, conf=0.56)
track 147: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 148: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 149: IDENTIFIED as 03 (UNKNOWN, conf=0.61)
track 151: IDENTIFIED as 04 (UNKNOWN, conf=0.15)
track 152: IDENTIFIED as 05 (UNKNOWN, conf=0.16)
track 153: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 155: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 156: IDENTIFIED as 29 (CANDIDATE, conf=0.75)
track 158: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 159: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 160: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
