track 1: IDENTIFIED as 15 (REVIEW_REQUIRED, conf=0.72)
track 2: IDENTIFIED as 28 (UNKNOWN, conf=0.30)
track 3: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 4: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 5: IDENTIFIED as 28 (CANDIDATE, conf=0.61)
track 6: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 28 (CANDIDATE, conf=0.70)
track 10: IDENTIFIED as 03 (UNKNOWN, conf=0.34)
track 21: IDENTIFIED as 31 (CANDIDATE, conf=0.45)
track 22: IDENTIFIED as 03 (UNKNOWN, conf=0.23)
track 28: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 40: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 41: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 47: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 50: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 57: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 59: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 64: IDENTIFIED as 03 (UNKNOWN, conf=0.23)
track 66: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 72: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 76: IDENTIFIED as 04 (UNKNOWN, conf=0.38)
track 77: IDENTIFIED as 04 (UNKNOWN, conf=0.30)
track 84: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 86: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 87: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 88: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 92: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 105: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 107: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 112: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 113: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 117: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 121: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
