track 1: IDENTIFIED as 16 (LOCKED, conf=0.96)
track 2: IDENTIFIED as 16 (UNKNOWN, conf=0.32)
track 3: IDENTIFIED as 23 (UNKNOWN, conf=0.52)
track 4: IDENTIFIED as 06 (UNKNOWN, conf=0.34)
track 5: IDENTIFIED as 06 (CONFIRMED, conf=0.80)
track 6: IDENTIFIED as 06 (UNKNOWN, conf=0.55)
track 7: NOT RECOGNIZED — face never detected (39 looks)
track 8: IDENTIFIED as 06 (UNKNOWN, conf=0.48)
track 9: IDENTIFIED as 06 (UNKNOWN, conf=0.34)
track 10: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 11: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 13: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 14: IDENTIFIED as 06 (UNKNOWN, conf=0.62)
track 15: IDENTIFIED as 06 (UNKNOWN, conf=0.26)
track 16: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 21: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 25: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 26: NOT RECOGNIZED — face never detected (10 looks)
track 27: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 32: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 33: NOT RECOGNIZED — face never detected (10 looks)
track 34: IDENTIFIED as 18 (CANDIDATE, conf=0.67)
track 35: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 14 (UNKNOWN, conf=0.26)
track 37: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 38: IDENTIFIED as 23 (UNKNOWN, conf=0.34)
track 39: IDENTIFIED as 14 (UNKNOWN, conf=0.27)
track 40: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 45: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 47: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 48: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 50: IDENTIFIED as 23 (UNKNOWN, conf=0.57)
track 51: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 52: NOT RECOGNIZED — face never detected (10 looks)
track 53: NOT RECOGNIZED — face never detected (5 looks)
track 55: IDENTIFIED as 06 (UNKNOWN, conf=0.32)
track 61: IDENTIFIED as 10 (CANDIDATE, conf=0.68)
track 62: IDENTIFIED as 16 (CANDIDATE, conf=0.29)
